,title,min_salary,max_salary,currency,href,site
0,Python Developer,2500,4500,USD,https://saratov.hh.ru/vacancy/52558321?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
1,Junior Python разработчик,40000,100000,руб.,https://saratov.hh.ru/vacancy/52377613?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
2,Junior разработчик Python Django,40000,80000,руб.,https://saratov.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
3,Junior Data Engineer (Python),150000,190000,руб.,https://saratov.hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
4,"Разработчик backend (Python), junior/middle",150000,NaN,руб.,https://saratov.hh.ru/vacancy/52609171?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
5,Junior Data Engineer,150000,NaN,руб.,https://saratov.hh.ru/vacancy/52693378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
6,Junior Python Developer,NaN,80000,руб.,https://saratov.hh.ru/vacancy/52348563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
7,Junior Python Programmer (стажер),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51507534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
8,Python-разработчик,30000,60000,руб.,https://saratov.hh.ru/vacancy/52820877?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
9,Junior Python developer (в Сочи),65000,NaN,руб.,https://saratov.hh.ru/vacancy/47110879?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
10,Junior Backend-разработчик (Python),50000,NaN,руб.,https://saratov.hh.ru/vacancy/52087160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
11,"Python-разработчик (Django, DRF)",60000,150000,руб.,https://saratov.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
12,Младший программист / Junior Developer in QA,80000,120000,руб.,https://saratov.hh.ru/vacancy/42015411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
13,Junior Data Scientist (Специалист по анализу данных),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52615958?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
14,Junior Python Developer (стажер),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52682945?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
15,Strong Junior / Middle+ Python Developer,1000,4000,USD,https://saratov.hh.ru/vacancy/52546671?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
16,Python developer / Junior ML engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52665206?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
17,Junior Python developer,50000,90000,руб.,https://saratov.hh.ru/vacancy/51697031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
18,Back-End разработчик Python (junior/middle),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52481862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
19,Junior/Middle Quantitative Researcher,130000,180000,руб.,https://saratov.hh.ru/vacancy/52011740?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
20,Junior pentester / Младший специалист по тестированию на проникновение,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51896015?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
21,Junior Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52789424?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
22,Backend-разработчик (junior),50000,NaN,руб.,https://saratov.hh.ru/vacancy/52655047?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
23,Младший специалист (аналитик/разработчик),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52122871?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
24,Computer Vision Engineer (junior/intern),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52200889?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
25,Junior HFT Quant Trader / Data Scientist Orion Systematic AG,100000,200000,руб.,https://saratov.hh.ru/vacancy/52212010?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
26,Python-розробник (Strong Junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52670232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
27,Разработчик ботов (Python & JS),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50362214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
28,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
29,RTL-разработчик (Junior),70000,110000,руб.,https://saratov.hh.ru/vacancy/47762287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
30,Junior Backend-разработчик,30000,60000,руб.,https://saratov.hh.ru/vacancy/50144902?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
31,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710404?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
32,Junior разработчик Ruby on Rails,40000,80000,руб.,https://saratov.hh.ru/vacancy/52202938?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
33,Junior программист С#,80000,100000,руб.,https://saratov.hh.ru/vacancy/51702381?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
34,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710407?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
35,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
36,BI-аналитик (Junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52227801?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
37,Junior Python разработчик,50000,NaN,руб.,https://saratov.hh.ru/vacancy/52512953?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
38,Junior Data engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52691071?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
39,Junior Data Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52599718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
40,Разработчик,30000,NaN,руб.,https://saratov.hh.ru/vacancy/52568882?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
41,Junior Analyst,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49510498?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
42,RTL-разработчик (Junior),70000,110000,руб.,https://saratov.hh.ru/vacancy/52470053?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
43,Младший инженер-программист (Стажер),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51076323?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
44,Junior Data Scientist,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52396407?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
45,Junior Node Developer,500,NaN,USD,https://saratov.hh.ru/vacancy/51926417?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
46,Bi Analyst (Junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52819002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
47,Junior/Middle QA automation engineer Python,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52493077?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
48,Junior Data Scientist,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52396406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
49,ETL/BI junior разработчик,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50018504?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
50,Младший разработчик ABAP/junior разработчик (удаленно),30000,NaN,руб.,https://saratov.hh.ru/vacancy/46587636?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
51,Разработчик Python,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52387912?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
52,Младший Python разработчик / Junior Python Developer (Back-end),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/46797297?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
53,С++ Junior разработчик,25000,45000,руб.,https://saratov.hh.ru/vacancy/50430127?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
54,Разработчик Python,NaN,180000,руб.,https://saratov.hh.ru/vacancy/52362015?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
55,Junior ServiceNow developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50018472?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
56,Junior Data Scientist,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52396404?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
57,Junior QA (backend),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52411201?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
58,Junior специалист Data Science (Python),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52393118?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
59,Разработчик Python,NaN,180000,руб.,https://saratov.hh.ru/vacancy/52361943?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
60,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
61,Стажер/младший аналитик данных,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52363899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
62,Junior Аналитик Python/SQL в Центр ИТ-валидации,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52292199?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
63,Junior DevOPS Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51860951?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
64,Product/Data Analyst (Junior),NaN,1000,USD,https://saratov.hh.ru/vacancy/51710414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
65,Python разработчик,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52067049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
66,Стажер/младший аналитик данных,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52363910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
67,Начинающий Веб программист (Junior Web-разработчик),25000,70000,руб.,https://saratov.hh.ru/vacancy/47793756?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
68,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901536?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
69,Junior Python Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52263253?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
70,Junior QA Automation Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51194865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
71,Junior C++ разработчик алгоритмов геометрического моделирования,40000,70000,руб.,https://saratov.hh.ru/vacancy/52092584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
72,Technical Implementation Engineer (opportunity for Junior Developer),150000,250000,руб.,https://saratov.hh.ru/vacancy/50717458?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
73,Разработчик Python,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/47382585?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
74,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
75,Junior DevOps инженер / Operations engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51640449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
76,Junior Application Security Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52549255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
77,Junior Devops,120000,180000,руб.,https://saratov.hh.ru/vacancy/52253783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
78,Junior QA engineer,1000,NaN,USD,https://saratov.hh.ru/vacancy/52249849?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
79,Разработчик на R / Java / C / Python (Дальний Восток или Сибирь) / Удаленно,100000,200000,руб.,https://saratov.hh.ru/vacancy/52384970?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
80,Junior Backend developer,40000,60000,руб.,https://saratov.hh.ru/vacancy/47003869?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
81,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
82,Junior C++ SW Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49439524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
83,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
84,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901516?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
85,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50670673?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
86,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
87,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
88,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50670672?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
89,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901532?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
90,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
91,Младший программист Python,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52167806?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
92,Junior Python разработчик (роботы),35000,45000,руб.,https://saratov.hh.ru/vacancy/52123629?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
93,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901538?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
94,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901535?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
95,Junior ML Engineer в команду Backoffice,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/48004145?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
96,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901550?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
97,Junior QA Automation Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52341065?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
98,Junior-Middle C/C++ Developer (Remote),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52163922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
